City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,84.11,70,89,5.99,US,1665435244
São João da Barra,-21.6403,-41.0511,80.69,84,9,7.4,BR,1665435244
Dingle,10.9995,122.6711,74.57,91,50,1.1,PH,1665435245
Punta Arenas,-53.15,-70.9167,53.71,43,40,32.21,CL,1665435200
Constantine,36.365,6.6147,63.81,82,40,9.22,DZ,1665435081
Grindavik,63.8424,-22.4338,37.87,65,100,9.22,IS,1665435245
Matara,5.9485,80.5353,76.64,89,100,6.87,LK,1665435245
Aripuanã,-9.1667,-60.6333,87.84,47,78,0.4,BR,1665435245
Ilulissat,69.2167,-51.1,26.46,92,100,6.64,GL,1665435245
Lüderitz,-26.6481,15.1594,60.31,87,43,1.23,NA,1665435013
Torbay,47.6666,-52.7314,51.39,60,20,20.71,CA,1665435229
Puerto Ayora,-0.7393,-90.3518,76.96,87,65,7.0,EC,1665435245
Cockburn Town,21.4612,-71.1419,84.16,70,40,12.66,TC,1665435245
Greenwood,34.1668,-82.1165,73.8,62,100,4.61,US,1665435246
Tigil',57.8,158.6667,32.77,92,92,13.96,RU,1665435246
Busselton,-33.65,115.3333,53.01,66,98,10.54,AU,1665435246
Mucurapo,10.6667,-61.5333,82.96,92,98,8.57,TT,1665435246
Thornhill,55.2333,-3.7667,44.19,91,99,3.83,GB,1665435246
Qaanaaq,77.484,-69.3632,8.17,58,23,7.23,GL,1665435246
Mataura,-46.1927,168.8643,44.89,96,99,6.24,NZ,1665435246
Albany,42.6001,-73.9662,58.68,83,67,5.91,US,1665435247
Nikolskoye,59.7035,30.7861,44.8,86,64,6.49,RU,1665435247
Abéché,13.8292,20.8324,85.44,34,8,3.44,TD,1665435247
Thompson,55.7435,-97.8558,69.96,37,20,13.8,CA,1665435247
Bethel,41.3712,-73.414,65.8,61,74,1.01,US,1665435247
Kavieng,-2.5744,150.7967,81.46,71,11,8.41,PG,1665435247
Bengkulu,-3.8004,102.2655,76.28,85,100,3.42,ID,1665435247
Bluff,-46.6,168.3333,49.48,61,68,18.81,NZ,1665435212
Mount Gambier,-37.8333,140.7667,55.17,59,95,12.39,AU,1665435248
Aitape,-3.1374,142.3475,78.21,86,91,4.34,PG,1665435248
Rikitea,-23.1203,-134.9692,72.19,73,2,9.57,PF,1665435248
